,Cluster_Index,Latitude,Longitude,Month,X,crime,danger_index,hours,minutes
0,0,25.421477,81.566136,2007-02-16,10414.0,Pick,19,17,29
1,0,25.419466,81.564334,2012-09-11,10417.0,Pick,19,18,27
2,0,25.422359,81.566265,2008-10-09,10418.0,Chain,19,21,57
3,0,25.422359,81.566265,2015-07-21,10421.0,Rape,19,19,53
4,0,25.422767,81.5677,2007-01-12,10422.0,Rape,19,20,39
5,0,25.421477,81.566136,2008-04-01,10423.0,Rape,19,13,37
6,0,25.422767,81.5677,2009-07-21,10424.0,Kidnap,19,11,16
7,0,25.419466,81.564334,2006-02-01,10425.0,Violence and Offence,19,18,6
8,0,25.422767,81.5677,2009-06-07,10427.0,Rape,19,20,39
9,0,25.421003,81.564402,2011-12-22,10428.0,Rape,19,1,50
10,0,25.421723,81.567605,2007-06-11,10552.0,Rape,19,0,38
11,0,25.418069,81.572267,2015-07-04,10553.0,Pick,19,20,21
12,0,25.418582,81.574392,2015-04-22,10554.0,Rape,19,17,4
13,0,25.422288,81.569547,2009-03-04,10555.0,Murder,19,22,23
14,0,25.423628,81.568582,2007-03-06,10556.0,Violence and Offence,19,17,0
15,0,25.421656,81.571248,2014-11-04,10557.0,Chain,19,20,58
16,0,25.418582,81.574392,2008-11-16,10558.0,Robery,19,14,37
17,0,25.421236,81.571574,2014-03-04,10559.0,Kidnap,19,0,50
18,0,25.422614,81.568712,2010-02-24,10560.0,Robery,19,1,48
19,0,25.422288,81.569547,2014-11-06,10561.0,Robery,19,20,15
20,0,25.420167,81.57169,2014-04-03,10562.0,Rape,19,9,6
21,0,25.422988,81.570448,2008-09-05,10563.0,Kidnap,19,17,3
22,0,25.42067,81.570534,2008-08-03,10564.0,Violence and Offence,19,17,7
23,0,25.421656,81.571248,2006-01-24,10565.0,Kidnap,19,16,13
24,0,25.4212,81.569438,2015-12-29,10566.0,Kidnap,19,12,19
25,0,25.424358,81.567736,2007-08-04,10567.0,Murder,19,5,43
26,0,25.423033,81.567317,2010-03-18,10568.0,Kidnap,19,6,54
27,0,25.421656,81.571248,2010-08-14,10569.0,Robery,19,17,2
28,0,25.421656,81.571248,2015-09-22,10570.0,Chain,19,15,34
