"","X","Month","Longitude","Latitude","hours","minutes","crime"
"1",1,2011-01-10,81.85223,25.389499,12,34,"Rape"
"2",2,2009-06-26,81.85223,25.389499,13,23,"Kidnap"
"3",3,2010-10-05,81.85223,25.389499,1,38,"Hit And Run"
"4",4,2009-09-04,81.85223,25.389499,14,16,"Rape"
"5",5,2015-04-20,81.769671,25.334337,19,49,"Chain"
"6",6,2007-10-05,81.769671,25.334337,11,19,"Kidnap"
"7",7,2005-06-15,81.750198,25.490299,0,34,"Robery"
"8",8,2007-08-20,81.728159,25.489745,0,26,"Robery"
"9",9,2008-05-20,81.726046,25.490619,10,20,"Murder"
"10",10,2006-02-20,81.728159,25.489745,20,55,"Chain"
"11",11,2011-06-03,81.728339,25.486097,19,21,"Rape"
"12",12,2009-02-25,81.726125,25.48529,18,34,"Rape"
"13",13,2005-05-17,81.734612,25.488147,13,32,"Chain"
"14",14,2005-01-11,81.726125,25.48529,14,37,"Hit And Run"
"15",15,2007-04-27,81.734612,25.488147,3,2,"Robery"
"16",16,2006-06-03,81.727598,25.484743,18,57,"Kidnap"
"17",17,2009-08-28,81.725191,25.488186,20,57,"Robery"
"18",18,2013-11-20,81.729401,25.485736,1,25,"Kidnap"
"19",19,2014-10-30,81.734612,25.488147,17,24,"Robery"
"20",20,2006-11-29,81.728159,25.489745,11,51,"Rape"
"21",21,2012-07-25,81.734612,25.488147,18,43,"Rape"
"22",22,2009-12-16,81.728159,25.489745,16,25,"Violence and Offence"
"23",23,2014-10-31,81.734612,25.488147,12,51,"Murder"
"24",24,2014-07-01,81.730028,25.48824,4,48,"Pick"
"25",25,2011-01-15,81.72676,25.49031,1,30,"Hit And Run"
"26",26,2010-03-15,81.727444,25.490045,15,17,"Kidnap"
"27",27,2005-02-08,81.730028,25.48824,3,52,"Robery"
"28",28,2007-04-23,81.730202,25.489346,14,48,"Violence and Offence"
"29",29,2011-07-24,81.730202,25.489346,6,0,"Pick"
"30",30,2007-06-18,81.725191,25.488186,10,4,"Kidnap"
"31",31,2013-06-04,81.730202,25.489346,10,37,"Robery"
"32",32,2010-08-09,81.729401,25.485736,10,49,"Robery"
"33",33,2015-08-20,81.726125,25.48529,14,28,"Hit And Run"
"34",34,2013-03-26,81.730028,25.48824,20,48,"Robery"
"35",35,2005-10-24,81.730346,25.486687,15,28,"Violence and Offence"
"36",36,2005-06-21,81.726125,25.48529,22,38,"Hit And Run"
"37",37,2008-06-18,81.725191,25.488186,5,19,"Murder"
"38",38,2012-11-10,81.725782,25.490968,2,17,"Pick"
"39",39,2011-07-18,81.725191,25.488186,6,15,"Pick"
"40",40,2011-10-17,81.720707,25.500944,9,41,"Violence and Offence"
"41",41,2015-09-04,81.725187,25.499368,4,53,"Hit And Run"
"42",42,2007-07-18,81.713745,25.493603,0,6,"Chain"
"43",43,2005-11-09,81.713416,25.492729,22,11,"Robery"
"44",44,2012-08-23,81.715833,25.496854,17,50,"Violence and Offence"
"45",45,2006-11-09,81.712009,25.49661,13,48,"Robery"
"46",46,2007-10-19,81.715833,25.496854,11,15,"Violence and Offence"
"47",47,2006-02-27,81.715833,25.496854,16,44,"Violence and Offence"
"48",48,2014-04-30,81.715833,25.496854,12,27,"Chain"
"49",49,2011-05-29,81.718564,25.493809,14,12,"Kidnap"
"50",50,2015-05-22,81.714183,25.49357,4,21,"Robery"
"51",51,2010-09-08,81.715833,25.496854,9,8,"Murder"
"52",52,2012-09-15,81.715833,25.496854,20,30,"Pick"
"53",53,2006-08-06,81.715833,25.496854,20,51,"Rape"
"54",54,2005-12-29,81.71277,25.493362,5,0,"Pick"
"55",55,2011-05-18,81.715833,25.496854,15,27,"Hit And Run"
"56",56,2011-09-14,81.715833,25.496854,5,1,"Pick"
"57",57,2012-07-10,81.715833,25.496854,22,18,"Pick"
"58",58,2011-05-19,81.715833,25.496854,12,17,"Hit And Run"
